probe,gene,gsm,tumor,expression,mean,std,z_score
ILMN_1696521,egfr,GSM4003525,BN,392.3905,285.155365,162.7246318,0.658997558
ILMN_1696521,egfr,GSM4003527,BN,350.7063,285.155365,162.7246318,0.402833513
ILMN_1696521,egfr,GSM4003529,BN,340.6381,285.155365,162.7246318,0.340960888
ILMN_1696521,egfr,GSM4003530,BN,358.8923,285.155365,162.7246318,0.453139357
ILMN_1696521,egfr,GSM4003533,BN,326.8958,285.155365,162.7246318,0.256509629
ILMN_1696521,egfr,GSM4003535,BN,334.3678,285.155365,162.7246318,0.302427693
ILMN_1696521,egfr,GSM4003538,BN,371.3995,285.155365,162.7246318,0.530000493
ILMN_1696521,egfr,GSM4003584,BN,460.9183,285.155365,162.7246318,1.080124951
ILMN_1696521,egfr,GSM4003588,BN,398.1638,285.155365,162.7246318,0.694476514
ILMN_1696521,egfr,GSM4003592,BN,510.4318,285.155365,162.7246318,1.384402795
ILMN_1696521,egfr,GSM4003600,BN,238.5337,285.155365,162.7246318,-0.286506502
ILMN_1696521,egfr,GSM4003604,BN,241.3555,285.155365,162.7246318,-0.26916555
ILMN_1696521,egfr,GSM4003605,BN,249.2796,285.155365,162.7246318,-0.220469173
ILMN_1696521,egfr,GSM4003618,BN,195.6231,285.155365,162.7246318,-0.550207206
ILMN_1696521,egfr,GSM4003619,BN,278.9086,285.155365,162.7246318,-0.038388564
ILMN_1696521,egfr,GSM4003621,BN,243.1511,285.155365,162.7246318,-0.258130957
ILMN_1696521,egfr,GSM4003625,BN,202.9996,285.155365,162.7246318,-0.504876023
ILMN_1696521,egfr,GSM4003629,BN,200.5232,285.155365,162.7246318,-0.520094371
ILMN_1696521,egfr,GSM4003633,BN,407.204,285.155365,162.7246318,0.750031717
ILMN_1696521,egfr,GSM4003635,BN,202.8133,285.155365,162.7246318,-0.506020902
ILMN_1696521,egfr,GSM4003638,BN,201.4226,285.155365,162.7246318,-0.514567242
ILMN_1696521,egfr,GSM4003647,BN,208.9024,285.155365,162.7246318,-0.468601245
ILMN_1696521,egfr,GSM4003650,BN,198.6701,285.155365,162.7246318,-0.531482321
ILMN_1696521,egfr,GSM4003651,BN,468.9403,285.155365,162.7246318,1.129422958
ILMN_1696521,egfr,GSM4003652,BN,368.0106,285.155365,162.7246318,0.509174512
ILMN_1696521,egfr,GSM4003654,BN,219.9429,285.155365,162.7246318,-0.400753496
ILMN_1696521,egfr,GSM4003660,BN,210.2887,285.155365,162.7246318,-0.460081944
ILMN_1696521,egfr,GSM4003687,BN,322.5428,285.155365,162.7246318,0.229758916
ILMN_1696521,egfr,GSM4003688,BN,312.0176,285.155365,162.7246318,0.165077866
ILMN_1696521,egfr,GSM4003710,BN,269.2291,285.155365,162.7246318,-0.097872491
ILMN_1696521,egfr,GSM4003767,BN,205.8204,285.155365,162.7246318,-0.487541217
ILMN_1696521,egfr,GSM4003773,BN,191.6764,285.155365,162.7246318,-0.574461063
ILMN_1696521,egfr,GSM4003774,BN,187.3828,285.155365,162.7246318,-0.600846743
ILMN_1696521,egfr,GSM4003777,BN,218.5278,285.155365,162.7246318,-0.409449782
ILMN_1696521,egfr,GSM4003801,BN,1282.764,285.155365,162.7246318,6.130655353
ILMN_1696521,egfr,GSM4003843,BN,387.4795,285.155365,162.7246318,0.628817739
ILMN_1696521,egfr,GSM4003138,MN,236.361,279.1717563,151.1702175,-0.283195705
ILMN_1696521,egfr,GSM4003139,MN,230.8394,279.1717563,151.1702175,-0.319721418
ILMN_1696521,egfr,GSM4003153,MN,310.8875,279.1717563,151.1702175,0.209801535
ILMN_1696521,egfr,GSM4003157,MN,273.761,279.1717563,151.1702175,-0.035792476
ILMN_1696521,egfr,GSM4003158,MN,251.3338,279.1717563,151.1702175,-0.184149741
ILMN_1696521,egfr,GSM4003162,MN,267.5782,279.1717563,151.1702175,-0.076692066
ILMN_1696521,egfr,GSM4003169,MN,211.5502,279.1717563,151.1702175,-0.447320626
ILMN_1696521,egfr,GSM4003173,MN,218.3341,279.1717563,151.1702175,-0.402444723
ILMN_1696521,egfr,GSM4003175,MN,221.2928,279.1717563,151.1702175,-0.382872746
ILMN_1696521,egfr,GSM4003182,MN,225.5909,279.1717563,151.1702175,-0.354440559
ILMN_1696521,egfr,GSM4003183,MN,218.3,279.1717563,151.1702175,-0.402670297
ILMN_1696521,egfr,GSM4003199,MN,382.5593,279.1717563,151.1702175,0.683914764
ILMN_1696521,egfr,GSM4003200,MN,345.4094,279.1717563,151.1702175,0.438165961
ILMN_1696521,egfr,GSM4003204,MN,317.1111,279.1717563,151.1702175,0.25097102
ILMN_1696521,egfr,GSM4003207,MN,302.0775,279.1717563,151.1702175,0.15152286
